Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"José Caballero","TBR",139,483,9,53,44,44,0.055900621,0.275362318,0.120181406,0.301324503,0.226757369,0.283333333,0.346938775,0.27710887074221646,0.26373822034280003,82.76486924839071,2.9047131910920143,-6.620338047816263,9.201028823852539,1.920868149389897,"Jose Caballero",23401,676609
"Ryan McMahon","COL",153,645,20,68,65,4,0.106976744,0.286821705,0.155202822,0.319672131,0.241622574,0.32503888,0.396825396,0.31540381861777744,0.3236555488188685,88.199509565757,-2.6730926260352135,-11.774762017999368,8.55698537826538,1.8950709453274022,"Ryan McMahon",15112,641857
"Josh Rojas","SEA",143,476,8,48,31,10,0.096638655,0.226890756,0.111374407,0.282467532,0.225118483,0.304439746,0.33649289,0.2855414129414801,0.29220285618558844,91.54870766880222,-1.6359310895204544,-6.238875016544418,8.77794325351715,1.8925935221822203,"Josh Rojas",19734,668942
"Victor Caratini","HOU",87,274,8,30,30,0,0.083941605,0.193430656,0.13877551,0.310160427,0.269387755,0.335766423,0.408163265,0.32435033915243744,0.3206151793984806,112.77289628340344,-3.409058138728142,0.5954165771999502,8.631545543670654,1.8914267230233432,"Victor Caratini",14968,605170
"Francisco Alvarez","NYM",100,342,11,39,47,1,0.087719298,0.251461988,0.165584415,0.291079812,0.237012987,0.307017543,0.402597402,0.3098268491482874,0.2879564173081342,101.11975109289504,-2.130220592021942,-1.6722802697522094,8.402899265289307,1.8761607213836,"Francisco Alvarez",26121,682626
"Garrett Mitchell","MIL",69,224,8,33,21,11,0.111607142,0.316964285,0.214285715,0.358974358,0.25510204,0.342342342,0.469387755,0.3512370078950315,0.3116582119626697,126.74871548707176,2.209621511399746,9.374556169231674,1.2273883819580078,1.868489904880154,"Garrett Mitchell",27555,669003
"Edmundo Sosa","PHI",90,274,7,39,31,7,0.047445255,0.240875912,0.164658634,0.320224719,0.257028112,0.3125,0.421686746,0.3184949926593724,0.3026788056786381,102.10064796021312,1.8179260790348053,2.5062060376287123,6.379626750946045,1.86392010475336,"Edmundo Sosa",17022,624641
"Spencer Horwitz","TOR",97,381,12,46,40,0,0.11023622,0.183727034,0.167682927,0.3,0.265243902,0.35695538,0.432926829,0.34409546867838636,0.3375952124281106,126.56264431453992,-3.690788395702839,7.889033772621767,-2.515403628349304,1.8599528034872708,"Spencer Horwitz",26477,687462
"CJ Abrams","WSN",138,602,20,79,65,31,0.066445182,0.212624584,0.186691312,0.28463476,0.245841035,0.314475873,0.432532347,0.32224908431238153,0.3194377822363937,106.38806017203217,1.6020330265164375,6.200645086589768,-8.321349620819092,1.8598810208441705,"CJ Abrams",25768,682928
"Travis d'Arnaud","ATL",99,341,15,40,48,1,0.070381231,0.260997067,0.198697068,0.280193236,0.237785016,0.302052785,0.436482084,0.31879015821865225,0.32146263122558594,103.34179119189959,-1.225297436118126,0.13738598876164554,6.28284615278244,1.8406513452808135,"Travis d'Arnaud",7739,518595
"Jose Siri","TBR",130,448,18,50,47,14,0.069196428,0.379464285,0.179104477,0.261467889,0.186567164,0.254504504,0.365671641,0.2707812407532254,0.2958990230517247,78.31388509339176,1.5366266518831253,-9.57980433093776,12.429890036582947,1.828810916714504,"Jose Siri",17452,642350
"Gleyber Torres","NYY",154,665,15,80,63,4,0.09774436,0.204511278,0.120954003,0.306306306,0.257240204,0.330316742,0.378194207,0.31267272580982514,0.306538707369575,105.11996594076172,-4.577114030718803,-0.6813349193653799,-3.6778619289398193,1.8275069046697465,"Gleyber Torres",16997,650402
"Paul DeJong","- - -",139,482,24,54,56,2,0.047717842,0.323651452,0.2,0.285185185,0.226966292,0.275933609,0.426966292,0.3023871950094136,0.2908666856061374,95.75648236690209,-2.3985319435596466,-4.738870333984958,5.91267266869545,1.772142770262524,"Paul DeJong",18015,657557
"Bryson Stott","PHI",148,571,11,65,57,32,0.092819614,0.162872154,0.110671937,0.274939172,0.245059288,0.315236427,0.355731225,0.2959171467705777,0.3070519618412106,86.90421005266235,4.594950459897518,-4.346934806655103,2.383306086063385,1.7690503318606796,"Bryson Stott",26294,681082
"Carson Kelly","- - -",91,313,9,32,37,0,0.079872204,0.175718849,0.135231317,0.266055045,0.238434163,0.313099041,0.37366548,0.30414682855240455,0.3154579665499868,98.24932652356804,-3.0089854672551155,-3.635967502009498,10.364903628826141,1.7670165397745443,"Carson Kelly",13620,608348
"Mike Yastrzemski","SFG",140,474,18,60,57,3,0.080168776,0.261603375,0.205607476,0.282229965,0.231308411,0.302325581,0.436915887,0.31878834445092635,0.30139150416597404,106.60004492556037,1.8428544476628304,5.583844193513723,-4.689013943076134,1.7292928112248687,"Mike Yastrzemski",14854,573262
"Colt Keith","DET",148,556,13,54,61,7,0.064748201,0.197841726,0.120155039,0.306329113,0.259689922,0.309352517,0.379844961,0.3007700167838417,0.3128591941220917,95.36305999836082,0.32709309458732605,-2.6228380254744366,0.9209562540054321,1.7286086440009178,"Colt Keith",27899,690993
